31.6396 31.5823 31.4154 31.2928 31.2906
31.5823 31.4154 31.2928 31.2906 31.2550
31.4154 31.2928 31.2906 31.2550 31.2972
31.2928 31.2906 31.2550 31.2972 31.4004
31.2906 31.2550 31.2972 31.4004 31.4765
31.2550 31.2972 31.4004 31.4765 31.4432
31.2972 31.4004 31.4765 31.4432 31.2175
31.4004 31.4765 31.4432 31.2175 31.2695
31.4765 31.4432 31.2175 31.2695 31.3142
31.4432 31.2175 31.2695 31.3142 31.2886
31.2175 31.2695 31.3142 31.2886 31.2953
31.2695 31.3142 31.2886 31.2953 31.2355
31.3142 31.2886 31.2953 31.2355 30.9267
31.2886 31.2953 31.2355 30.9267 30.9396
31.2953 31.2355 30.9267 30.9396 30.9781
31.2355 30.9267 30.9396 30.9781 31.0586
30.9267 30.9396 30.9781 31.0586 31.1266
30.9396 30.9781 31.0586 31.1266 31.2402
30.9781 31.0586 31.1266 31.2402 31.2870
31.0586 31.1266 31.2402 31.2870 31.2995
31.1266 31.2402 31.2870 31.2995 31.3247
31.2402 31.2870 31.2995 31.3247 31.3153
31.2870 31.2995 31.3247 31.3153 31.3656
31.2995 31.3247 31.3153 31.3656 31.4801
31.3247 31.3153 31.3656 31.4801 31.4158
31.3153 31.3656 31.4801 31.4158 31.3393
31.3656 31.4801 31.4158 31.3393 31.3915
31.4801 31.4158 31.3393 31.3915 31.3652
31.4158 31.3393 31.3915 31.3652 31.4034
31.3393 31.3915 31.3652 31.4034 31.4104
31.3915 31.3652 31.4034 31.4104 31.3778
31.3652 31.4034 31.4104 31.3778 31.2966
31.4034 31.4104 31.3778 31.2966 31.2220
31.4104 31.3778 31.2966 31.2220 31.2682
31.3778 31.2966 31.2220 31.2682 31.2610
31.2966 31.2220 31.2682 31.2610 31.2927
31.2220 31.2682 31.2610 31.2927 31.2063
31.2682 31.2610 31.2927 31.2063 31.0060
31.2610 31.2927 31.2063 31.0060 31.1168
31.2927 31.2063 31.0060 31.1168 31.0990
31.2063 31.0060 31.1168 31.0990 31.1908
31.0060 31.1168 31.0990 31.1908 31.0085
31.1168 31.0990 31.1908 31.0085 31.1248
31.0990 31.1908 31.0085 31.1248 31.2171
31.1908 31.0085 31.1248 31.2171 31.2048
31.0085 31.1248 31.2171 31.2048 31.1964
31.1248 31.2171 31.2048 31.1964 31.1463
31.2171 31.2048 31.1964 31.1463 31.2337
31.2048 31.1964 31.1463 31.2337 31.2458
31.1964 31.1463 31.2337 31.2458 31.2076
31.1463 31.2337 31.2458 31.2076 31.1726
31.2337 31.2458 31.2076 31.1726 31.2368
31.2458 31.2076 31.1726 31.2368 31.2299
31.2076 31.1726 31.2368 31.2299 31.1916
31.1726 31.2368 31.2299 31.1916 31.0902
31.2368 31.2299 31.1916 31.0902 30.9472
31.2299 31.1916 31.0902 30.9472 30.8489
31.1916 31.0902 30.9472 30.8489 30.4427
31.0902 30.9472 30.8489 30.4427 30.3391
30.9472 30.8489 30.4427 30.3391 30.4022
30.8489 30.4427 30.3391 30.4022 30.5491
30.4427 30.3391 30.4022 30.5491 30.4097
30.3391 30.4022 30.5491 30.4097 30.3020
30.4022 30.5491 30.4097 30.3020 30.1377
30.5491 30.4097 30.3020 30.1377 30.1384
30.4097 30.3020 30.1377 30.1384 30.1198
30.3020 30.1377 30.1384 30.1198 30.1079
30.1377 30.1384 30.1198 30.1079 30.0702
30.1384 30.1198 30.1079 30.0702 29.9946
30.1198 30.1079 30.0702 29.9946 29.7736
